Duration,Elements,element_rate,pk_freq(max),min_req(max),max_freq(max),bandw(max),entropy(max),peak_freq(mean),min_freq(mean),max_freq(mean),bandw(mean),entropy(mean)
0.16209,142,0.00114,35000,30000,42000,11000,0.187,36000,5000,83000,77000,0.386
0.21836,96,0.00229,80000,76000,87000,11000,0.184,38000,2000,101000,98000,0.572
0.13879,38,0.00373,42000,4000,76000,71000,0.382,43000,1000,92000,90000,0.497
0.16913,23,0.00767,17000,2000,82000,79000,0.413,17000,1000,87000,86000,0.519
0.04876,11,0.00486,58000,52000,65000,13000,0.201,55000,1000,79000,77000,0.519
0.17258,33,0.00538,74000,70000,82000,11000,0.169,45000,2000,87000,84000,0.468
0.11976,47,0.0026,43000,38000,52000,14000,0.216,38000,1000,95000,93000,0.461
0.11933,85,0.00142,43000,14000,68000,54000,0.323,20000,4000,82000,77000,0.422
0.11741,64,0.00186,49000,13000,68000,55000,0.356,48000,4000,73000,68000,0.41
0.11093,75,0.00149,48000,20000,67000,46000,0.305,48000,5000,68000,62000,0.374
0.1306,59,0.00224,51000,11000,68000,57000,0.317,48000,1000,71000,70000,0.432
0.08955,92,0.00098,43000,30000,70000,39000,0.302,49000,5000,73000,67000,0.349
0.11067,95,0.00117,57000,26000,71000,45000,0.31,48000,23000,76000,52000,0.359
0.12915,157,0.00082,60000,20000,77000,57000,0.342,60000,7000,79000,71000,0.399
0.11886,144,0.00083,48000,13000,83000,70000,0.379,48000,4000,84000,80000,0.45
0.12454,109,0.00115,45000,11000,86000,74000,0.402,42000,7000,86000,79000,0.431
0.11225,101,0.00112,46000,14000,76000,61000,0.368,46000,7000,77000,70000,0.423
0.1099,111,0.00099,46000,20000,83000,62000,0.411,46000,8000,84000,76000,0.42
0.0939,72,0.00132,45000,14000,89000,74000,0.384,43000,5000,112000,106000,0.466
0.09113,68,0.00136,41000,13000,89000,76000,0.41,41000,4000,117000,112000,0.492
0.10841,25,0.0045,61000,17000,82000,64000,0.413,52000,2000,111000,108000,0.503
0.11545,31,0.00384,39000,8000,82000,73000,0.377,42000,1000,120000,118000,0.521
0.09608,3,0.00219,39000,2000,89000,86000,0.39,39000,1000,92000,90000,0.534
0.09817,8,0.01376,35000,2000,121000,118000,0.413,36000,1000,90000,89000,0.526
