ID_Call,ID_Couple,Intruder,Owner,Sex,Defense,PC1,PC2,PC3,PC4,PC5
21,2,222,210,Female,0,-1.625078177,-0.964535721,-0.700078251,-0.647088584,0.068863478
22,2,222,210,Female,0,-0.453458575,-1.718386809,-0.779553763,0.815799523,-0.469365762
23,2,222,210,Female,0,5.7590112,1.253227373,-2.524762622,-1.827646733,-3.525509147
25,2,222,210,Female,0,-0.713917959,-2.25414186,-1.142622839,1.047043968,-0.775157652
26,3,190,179,Male,0,0.079150436,-0.779837084,-0.418389401,-0.48011149,-0.055892013
27,3,190,179,Male,0,-0.59715582,-0.841127012,-0.417359401,-0.476176926,-0.08121902
28,3,190,179,Male,0,-0.531154638,0.106969309,-0.409707793,-0.32729421,0.202646275
29,3,190,179,Male,0,-0.079993033,0.201223087,-0.630799551,-0.095228598,-0.294228502
30,3,190,179,Male,0,-0.637360268,1.007567112,-0.453207459,-0.388764316,-0.088509484
31,3,190,179,Male,0,-1.911018858,-1.23614843,-0.912601246,0.215705408,-0.765071584
32,3,190,179,Male,0,-2.608962147,0.028617212,-0.334586445,-0.242330164,-0.586883836
33,3,190,179,Male,0,2.795895623,-1.161528154,-1.249037508,0.44459352,-1.421640725
34,3,190,179,Male,0,-0.543288876,0.542930822,-0.871464809,-0.321058816,0.231836904
35,3,190,179,Male,0,-1.015548052,-0.31218817,-0.665406162,0.065627309,-0.166913669
36,3,190,179,Male,0,-0.783320194,-1.036009666,-1.022405533,0.000158479,-0.758666736
37,3,190,179,Male,0,-0.930167287,-0.619600076,-0.605840285,-0.130185175,0.480676966
38,3,190,179,Male,0,-0.190357053,-0.946721978,-0.442902499,-0.058378444,-0.31943205
39,3,190,179,Male,0,-1.017428337,0.573103917,-0.499484606,-0.509873922,0.16151423
40,3,190,179,Male,0,-1.650502744,0.249481737,-0.507236026,0.622260537,-0.100305382
41,3,190,179,Male,0,-2.113837196,0.213720113,-0.444879061,-0.504467815,-0.003147729
43,3,190,179,Male,0,0.458866782,0.838365638,-0.382769064,0.451528,-0.127929632
44,3,190,179,Male,0,-2.063997581,1.926240615,-0.154784034,-0.677474208,-0.034092089
45,3,190,179,Male,0,-0.728386229,-1.055076955,-1.156058036,-0.30584189,-0.056782401
46,3,190,179,Male,0,-0.132649765,-0.490391142,-0.434140439,-0.323605946,0.014547706
47,4,226,225,Male,0,0.230425305,1.026215376,-0.357664825,-0.038364108,-0.500670347
48,5,228,210,Male,1,-6.223787769,4.863599401,2.122198423,1.946080584,-0.660300694
49,5,228,210,Male,1,0.593377955,-0.60317127,2.947232807,-0.02095102,-0.29131495
