ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
1,1,215,214,Male,0.01002,0.00488,35000,30000,42000,11000,0.187,35000,30000,76000,45000,0.191,-4.870199501,4.342236267,-0.564558484,1.564668753,-0.516944419
2,1,215,214,Male,0.00017,0,74000,70000,82000,11000,0.168,74000,70000,82000,11000,0.167,-3.969358784,10.84398419,0.882453231,-0.626562739,-3.689464127
3,1,215,214,Male,0.07573,0.00137,42000,16000,67000,51000,0.301,45000,5000,83000,77000,0.417,-0.449847023,0.625701892,-0.557339203,-0.144005847,-0.152179737
4,1,215,214,Male,0.05102,0.00104,49000,14000,68000,54000,0.351,48000,4000,70000,65000,0.397,-0.881857982,0.488164571,-0.038640582,-0.709794223,-0.912353548
5,1,215,214,Male,0.08665,0.00108,48000,20000,68000,48000,0.314,48000,7000,68000,61000,0.365,-1.350532798,1.240574344,-0.186784622,-0.767214851,-0.62557615
6,1,215,214,Male,0.06016,0.00093,43000,30000,70000,39000,0.301,49000,14000,73000,58000,0.34,-1.698168838,2.433279335,-0.181626369,-0.356988868,-0.762398413
7,1,215,214,Male,0.10385,0.00074,57000,27000,71000,43000,0.305,48000,23000,74000,51000,0.356,-1.66582477,3.086639587,0.402368996,-0.738995851,-1.148517008
8,1,215,214,Male,0.11724,0.00141,60000,20000,77000,57000,0.341,60000,7000,79000,71000,0.395,0.279597209,1.453143901,-0.00825211,-1.026617924,-0.750295192
9,1,215,214,Male,0.0663,0.00161,49000,11000,83000,71000,0.383,61000,5000,86000,80000,0.422,1.082986903,0.261194904,-0.054459109,-0.71423939,-1.310716769
10,1,215,214,Male,0.09843,0.00108,45000,11000,86000,74000,0.403,42000,8000,86000,77000,0.424,0.829444073,-0.097766177,-0.005536311,-0.325616267,-1.135763411
11,1,215,214,Male,0.10572,0.00153,46000,13000,76000,62000,0.371,46000,7000,77000,70000,0.42,-0.133655967,0.324353111,0.204173329,-0.520671171,-0.75828393
12,1,215,214,Male,0.10205,0.0013,46000,20000,83000,62000,0.41,46000,10000,84000,74000,0.418,0.469296243,0.803307851,0.348513609,-0.232491191,-0.861461413
13,1,215,214,Male,0.0826,0.0014,45000,14000,93000,79000,0.398,43000,5000,112000,106000,0.462,2.93859621,-0.261890121,-0.826256299,0.58233994,-0.588265799
14,1,215,214,Male,0.07406,0.00129,46000,17000,89000,71000,0.407,46000,7000,112000,105000,0.423,2.566315993,0.321624371,-0.852440418,0.53342674,-0.586229287
15,1,215,214,Male,0.03605,0.00112,41000,11000,99000,87000,0.428,41000,7000,117000,109000,0.476,3.383275582,-0.625148569,-0.787241898,0.852171715,-1.200647929
16,1,215,214,Male,0.01062,0.00209,55000,10000,77000,67000,0.425,65000,2000,84000,82000,0.515,1.360226176,-0.032129687,0.821528488,-0.483940579,-1.362812294
17,1,215,214,Male,0.09058,0.00108,49000,10000,80000,70000,0.395,49000,4000,86000,82000,0.471,1.083777451,-0.22824958,0.126441896,-0.526121312,-0.808443372
18,1,215,214,Male,0.02747,0.00085,48000,17000,109000,92000,0.428,48000,2000,124000,121000,0.561,4.983043193,-0.685389991,-0.750144675,0.906505882,-1.016265921
19,1,215,214,Male,0.0445,0.00127,39000,33000,80000,46000,0.21,39000,4000,104000,99000,0.535,1.25152815,1.31591746,-1.248095052,1.266103359,0.784386345
20,1,215,214,Male,0.03037,0.00077,48000,17000,86000,68000,0.407,65000,5000,120000,114000,0.492,3.40686377,0.529967204,-0.648421823,0.1509804,-0.63873502
21,2,222,210,Female,0.16456,0.00099,29000,4000,67000,62000,0.303,27000,2000,67000,64000,0.375,-1.625078177,-0.964535721,-0.700078251,-0.647088584,0.068863478
22,2,222,210,Female,0.07526,0.00242,20000,4000,79000,74000,0.343,20000,1000,79000,77000,0.408,-0.453458575,-1.718386809,-0.779553763,0.815799523,-0.469365762
23,2,222,210,Female,0.00021,0,95000,7000,120000,112000,0.311,93000,5000,120000,114000,0.341,5.7590112,1.253227373,-2.524762622,-1.827646733,-3.525509147
24,2,222,210,Female,0.03229,0.00537,188000,177000,203000,26000,0.265,7000,1000,235000,234000,0.549,16.35774543,10.95595331,-4.882605291,9.374539668,3.704388168
25,2,222,210,Female,0.00085,0.00034,10000,4000,79000,74000,0.355,8000,1000,80000,79000,0.428,-0.713917959,-2.25414186,-1.142622839,1.047043968,-0.775157652
26,3,190,179,Male,0.14596,0.00144,41000,4000,71000,67000,0.339,38000,2000,82000,79000,0.436,0.079150436,-0.779837084,-0.418389401,-0.48011149,-0.055892013
27,3,190,179,Male,0.13171,0.00096,39000,4000,67000,62000,0.353,32000,2000,77000,74000,0.413,-0.59715582,-0.841127012,-0.417359401,-0.476176926,-0.08121902
28,3,190,179,Male,0.14131,0.00124,38000,14000,70000,55000,0.315,38000,4000,79000,74000,0.421,-0.531154638,0.106969309,-0.409707793,-0.32729421,0.202646275
29,3,190,179,Male,0.05964,0.00058,38000,19000,74000,55000,0.342,41000,2000,82000,79000,0.417,-0.079993033,0.201223087,-0.630799551,-0.095228598,-0.294228502
30,3,190,179,Male,0.11831,0.00095,46000,23000,73000,49000,0.329,41000,5000,76000,70000,0.374,-0.637360268,1.007567112,-0.453207459,-0.388764316,-0.088509484
31,3,190,179,Male,0.00068,0.00068,23000,4000,62000,58000,0.342,23000,1000,70000,68000,0.366,-1.911018858,-1.23614843,-0.912601246,0.215705408,-0.765071584
